OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,32880.0
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,18835.0
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,30753.0
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,53698.0
4.0,318.0,275.0,467.0,275.0,5851.0,6444.0,6444.0,6593.0,6593.0,3295.0
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,15233.0
6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,32764.0
7.0,1210.0,862.0,1210.0,1241.0,9972.0,12044.0,12423.0,12044.0,12423.0,11733.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,25507.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9720.0
10.0,98.0,265.0,420.0,573.0,721.0,1084.0,1392.0,1406.0,1714.0,757.0
11.0,647.0,1402.0,1276.0,1521.0,9660.0,11709.0,11828.0,12338.0,12457.0,10607.0
12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,27644.0
13.0,1649.0,238.0,1643.0,238.0,14451.0,16338.0,16338.0,16332.0,16332.0,7686.0
14.0,1411.0,276.0,1411.0,1188.0,23405.0,25092.0,26004.0,25092.0,26004.0,13877.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,10543.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,31151.0
17.0,330.0,477.0,330.0,749.0,4298.0,5105.0,5377.0,5105.0,5377.0,5184.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9059.0
19.0,716.0,162.0,799.0,155.0,52777.0,53655.0,53648.0,53738.0,53731.0,36602.0
20.0,1252.0,606.0,1718.0,617.0,11208.0,13066.0,13077.0,13532.0,13543.0,11381.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,29161.0
22.0,438.0,116.0,438.0,506.0,8155.0,8709.0,9099.0,8709.0,9099.0,6993.0
23.0,1924.0,1343.0,1924.0,2029.0,12203.0,15470.0,16156.0,15470.0,16156.0,11555.0
24.0,868.0,1031.0,1095.0,1821.0,4468.0,6367.0,7157.0,6594.0,7384.0,7627.0
25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9756.0
26.0,661.0,657.0,661.0,781.0,10069.0,11387.0,11511.0,11387.0,11511.0,2885.0
27.0,1864.0,966.0,1870.0,4013.0,13798.0,16628.0,19675.0,16634.0,19681.0,16733.0
28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,23878.0
29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,39958.0
30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,10541.0
31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,31353.0
32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,16002.0
33.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,18658.0
34.0,934.0,1477.0,933.0,1477.0,3749.0,6160.0,6160.0,6159.0,6159.0,4942.0
35.0,3632.0,140.0,3092.0,140.0,34676.0,38448.0,38448.0,37908.0,37908.0,32624.0
36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,22650.0
37.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14790.0
38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,54638.0
39.0,447.0,459.0,442.0,586.0,10853.0,11759.0,11886.0,11754.0,11881.0,14540.0
40.0,309.0,337.0,599.0,337.0,8597.0,9243.0,9243.0,9533.0,9533.0,9090.0
41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,21656.0
42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,25435.0
43.0,1334.0,561.0,2153.0,947.0,2085.0,3980.0,4366.0,4799.0,5185.0,6015.0
44.0,220.0,172.0,220.0,172.0,5566.0,5958.0,5958.0,5958.0,5958.0,6071.0
45.0,198.0,450.0,198.0,450.0,7802.0,8450.0,8450.0,8450.0,8450.0,5568.0
46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,25714.0
47.0,494.0,2044.0,497.0,2276.0,77040.0,79578.0,79810.0,79581.0,79813.0,32796.0
48.0,326.0,647.0,326.0,1189.0,22601.0,23574.0,24116.0,23574.0,24116.0,26675.0
49.0,1103.0,159.0,1130.0,159.0,60567.0,61829.0,61829.0,61856.0,61856.0,48164.0
50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14541.0
51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,12974.0
52.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,36087.0
53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6620.0
