OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,2456.0,1413.0,364.0,338.0,420.0,4289.0,3214.0,2197.0,1122.0,854.0
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1099.0
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1801.0
3.0,768.0,561.0,122.0,70.0,5867.0,7196.0,6705.0,6550.0,6059.0,1508.0
4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,365.0
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2813.0
6.0,2024.0,1318.0,307.0,188.0,3541.0,6883.0,5753.0,5166.0,4036.0,1235.0
7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,904.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,557.0
9.0,481.0,405.0,82.0,70.0,3342.0,4228.0,3893.0,3829.0,3494.0,1343.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,491.0
11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1645.0
12.0,365.0,684.0,88.0,99.0,2819.0,3868.0,3283.0,3591.0,3006.0,1061.0
13.0,969.0,469.0,172.0,157.0,3125.0,4563.0,4251.0,3766.0,3454.0,1138.0
14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1670.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1389.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,347.0
17.0,1300.0,273.0,341.0,38.0,6120.0,7693.0,7458.0,6734.0,6499.0,1306.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1335.0
19.0,360.0,1391.0,122.0,238.0,4736.0,6487.0,5334.0,6249.0,5096.0,794.0
20.0,909.0,382.0,202.0,149.0,1036.0,2327.0,2094.0,1620.0,1387.0,897.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1663.0
22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,832.0
23.0,866.0,692.0,178.0,119.0,7441.0,8999.0,8426.0,8311.0,7738.0,2140.0
24.0,150.0,189.0,25.0,80.0,2833.0,3172.0,3063.0,3047.0,2938.0,1285.0
25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,822.0
26.0,781.0,130.0,187.0,59.0,1914.0,2825.0,2754.0,2231.0,2160.0,829.0
