Urban_Area_ID,NAME
0,"New York--Newark, NY--NJ--CT"
1,"Los Angeles--Long Beach--Anaheim, CA"
2,"Chicago, IL--IN"
3,"Miami, FL"
4,"Philadelphia, PA--NJ--DE--MD"
5,"Dallas--Fort Worth--Arlington, TX"
6,"Houston, TX"
7,"Washington, DC--VA--MD"
8,"Atlanta, GA"
9,"Boston, MA--NH--RI"
10,"Detroit, MI"
11,"Phoenix--Mesa, AZ"
12,"San Francisco--Oakland, CA"
13,"Seattle, WA"
14,"San Diego, CA"
15,"Minneapolis--St. Paul, MN--WI"
16,"Tampa--St. Petersburg, FL"
17,"Denver--Aurora, CO"
18,"Baltimore, MD"
19,"St. Louis, MO--IL"
20,"Riverside--San Bernardino, CA"
21,"Las Vegas--Henderson, NV"
22,"Portland, OR--WA"
23,"Cleveland, OH"
24,"San Antonio, TX"
25,"Pittsburgh, PA"
26,"Sacramento, CA"
27,"San Jose, CA"
28,"Cincinnati, OH--KY--IN"
29,"Kansas City, MO--KS"
30,"Orlando, FL"
31,"Indianapolis, IN"
32,"Virginia Beach, VA"
33,"Milwaukee, WI"
34,"Columbus, OH"
35,"Austin, TX"
36,"Charlotte, NC--SC"
37,"Providence, RI--MA"
38,"Jacksonville, FL"
39,"Memphis, TN--MS--AR"
40,"Salt Lake City--West Valley City, UT"
41,"Louisville/Jefferson County, KY--IN"
42,"Nashville-Davidson, TN"
43,"Richmond, VA"
44,"Buffalo, NY"
45,"Hartford, CT"
46,"Bridgeport--Stamford, CT--NY"
47,"New Orleans, LA"
48,"Raleigh, NC"
49,"Oklahoma City, OK"
50,"Tucson, AZ"
51,"El Paso, TX--NM"
52,"Urban Honolulu, HI"
53,"Birmingham, AL"
54,"Albuquerque, NM"
55,"McAllen, TX"
56,"Omaha, NE--IA"
57,"Dayton, OH"
58,"Rochester, NY"
59,"Allentown, PA--NJ"
60,"Tulsa, OK"
61,"Fresno, CA"
62,"Sarasota--Bradenton, FL"
63,"Springfield, MA--CT"
64,"Concord, CA"
65,"Albany--Schenectady, NY"
66,"Baton Rouge, LA"
67,"Mission Viejo--Lake Forest--San Clemente, CA"
68,"Grand Rapids, MI"
69,"Akron, OH"
70,"New Haven, CT"
71,"Colorado Springs, CO"
72,"Knoxville, TN"
73,"Columbia, SC"
74,"Charleston--North Charleston, SC"
75,"Ogden--Layton, UT"
76,"Cape Coral, FL"
77,"Bakersfield, CA"
78,"Toledo, OH--MI"
79,"Worcester, MA--CT"
80,"Provo--Orem, UT"
81,"Wichita, KS"
82,"Palm Bay--Melbourne, FL"
83,"Des Moines, IA"
84,"Harrisburg, PA"
85,"Murrieta--Temecula--Menifee, CA"
86,"Little Rock, AR"
87,"Poughkeepsie--Newburgh, NY--NJ"
88,"Syracuse, NY"
89,"Lancaster, PA"
90,"Madison, WI"
91,"Greenville, SC"
92,"Reno, NV--CA"
93,"Winston-Salem, NC"
94,"Spokane, WA"
95,"Youngstown, OH--PA"
96,"Augusta-Richmond County, GA--SC"
97,"Scranton, PA"
98,"Chattanooga, TN--GA"
99,"Port St. Lucie, FL"
